year,month,day,hour,PM2.5,PM10,NO2,CO,station
2013,3,1,0,4.0,4.0,7.0,300.0,Aotizhongxin
2013,3,1,1,8.0,8.0,7.0,300.0,Aotizhongxin
2013,3,1,2,7.0,7.0,10.0,300.0,Aotizhongxin
2013,3,1,3,6.0,6.0,11.0,300.0,Aotizhongxin
2013,3,1,4,3.0,3.0,12.0,300.0,Aotizhongxin
2013,3,1,5,5.0,5.0,18.0,400.0,Aotizhongxin
2013,3,1,6,3.0,3.0,32.0,500.0,Aotizhongxin
2013,3,1,7,3.0,6.0,41.0,500.0,Aotizhongxin
2013,3,1,8,3.0,6.0,43.0,500.0,Aotizhongxin
2013,3,1,9,3.0,8.0,28.0,400.0,Aotizhongxin
2013,3,1,10,3.0,6.0,12.0,400.0,Aotizhongxin
2013,3,1,11,3.0,6.0,14.0,400.0,Aotizhongxin
2013,3,1,12,3.0,6.0,13.0,300.0,Aotizhongxin
2013,3,1,13,3.0,6.0,12.0,400.0,Aotizhongxin
2013,3,1,14,6.0,9.0,11.0,400.0,Aotizhongxin
2013,3,1,15,8.0,15.0,14.0,400.0,Aotizhongxin
2013,3,1,16,9.0,19.0,13.0,400.0,Aotizhongxin
2013,3,1,17,10.0,23.0,15.0,400.0,Aotizhongxin
2013,3,1,18,11.0,20.0,20.0,500.0,Aotizhongxin
2013,3,1,19,8.0,14.0,30.0,500.0,Aotizhongxin
2013,3,1,20,11.0,17.0,33.0,600.0,Aotizhongxin
2013,3,1,21,12.0,18.0,35.0,500.0,Aotizhongxin
2013,3,1,22,15.0,19.0,57.0,700.0,Aotizhongxin
2013,3,1,23,24.0,24.0,54.0,600.0,Aotizhongxin
2013,3,2,0,22.0,24.0,44.0,500.0,Aotizhongxin
2013,3,2,1,14.0,17.0,36.0,400.0,Aotizhongxin
2013,3,2,2,13.0,13.0,37.0,400.0,Aotizhongxin
2013,3,2,3,3.0,9.0,34.0,400.0,Aotizhongxin
2013,3,2,4,3.0,7.0,43.0,400.0,Aotizhongxin
2013,3,2,5,9.0,11.0,70.0,500.0,Aotizhongxin
2013,3,2,6,4.0,10.0,46.0,500.0,Aotizhongxin
2013,3,2,7,3.0,11.0,58.0,500.0,Aotizhongxin
2013,3,2,8,3.0,7.0,49.0,500.0,Aotizhongxin
2013,3,2,9,10.0,14.0,62.0,700.0,Aotizhongxin
2013,3,2,10,11.0,19.0,60.0,600.0,Aotizhongxin
2013,3,2,11,18.0,29.0,70.0,800.0,Aotizhongxin
2013,3,2,12,26.0,30.0,76.0,900.0,Aotizhongxin
2013,3,2,13,25.0,33.0,57.0,700.0,Aotizhongxin
2013,3,2,14,26.0,35.0,54.0,700.0,Aotizhongxin
2013,3,2,15,37.0,40.0,55.0,700.0,Aotizhongxin
2013,3,2,16,37.0,46.0,63.0,1000.0,Aotizhongxin
2013,3,2,17,44.0,58.0,77.0,1200.0,Aotizhongxin
2013,3,2,18,54.0,79.0,80.0,1100.0,Aotizhongxin
2013,3,2,19,61.0,86.0,97.0,1300.0,Aotizhongxin
2013,3,2,20,67.0,96.0,108.0,1399.0,Aotizhongxin
2013,3,2,21,74.0,103.0,107.0,1399.0,Aotizhongxin
2013,3,2,22,81.0,113.0,110.0,1500.0,Aotizhongxin
2013,3,2,23,93.0,120.0,107.0,1700.0,Aotizhongxin
2013,3,3,0,112.0,130.0,100.0,1899.0,Aotizhongxin
2013,3,3,1,109.0,132.0,101.0,2200.0,Aotizhongxin
2013,3,3,2,110.0,132.0,99.0,2399.0,Aotizhongxin
2013,3,3,3,105.0,129.0,100.0,2500.0,Aotizhongxin
2013,3,3,4,106.0,136.0,92.0,2799.0,Aotizhongxin
2013,3,3,5,101.0,135.0,87.0,2399.0,Aotizhongxin
2013,3,3,6,91.0,142.0,87.0,2100.0,Aotizhongxin
2013,3,3,7,79.0,116.0,91.0,2000.0,Aotizhongxin
2013,3,3,8,77.0,110.0,90.0,2299.0,Aotizhongxin
2013,3,3,9,83.0,119.0,90.0,2600.0,Aotizhongxin
2013,3,3,10,94.0,122.0,90.0,1800.0,Aotizhongxin
2013,3,3,11,96.0,117.0,93.0,1600.0,Aotizhongxin
2013,3,3,12,91.0,108.0,99.0,1600.0,Aotizhongxin
2013,3,3,13,98.0,134.0,81.0,1200.0,Aotizhongxin
2013,3,3,14,72.0,106.0,57.0,900.0,Aotizhongxin
2013,3,3,15,48.0,114.0,17.0,500.0,Aotizhongxin
2013,3,3,16,28.0,100.0,17.0,400.0,Aotizhongxin
2013,3,3,17,26.0,103.0,19.0,400.0,Aotizhongxin
2013,3,3,18,24.0,82.0,27.0,500.0,Aotizhongxin
2013,3,3,19,19.0,71.0,98.0,1300.0,Aotizhongxin
2013,3,3,20,60.0,175.0,135.0,2000.0,Aotizhongxin
2013,3,3,21,117.0,181.0,100.0,1100.0,Aotizhongxin
2013,3,3,22,54.0,105.0,90.0,1200.0,Aotizhongxin
2013,3,3,23,46.0,94.0,84.0,1200.0,Aotizhongxin
2013,3,4,0,42.0,83.0,86.0,1300.0,Aotizhongxin
2013,3,4,1,49.0,80.0,64.0,1000.0,Aotizhongxin
2013,3,4,2,34.0,62.0,14.0,300.0,Aotizhongxin
2013,3,4,3,12.0,34.0,12.0,,Aotizhongxin
2013,3,4,4,7.0,18.0,,400.0,Aotizhongxin
2013,3,4,5,10.0,24.0,45.0,400.0,Aotizhongxin
2013,3,4,6,13.0,32.0,65.0,500.0,Aotizhongxin
2013,3,4,7,14.0,36.0,70.0,600.0,Aotizhongxin
2013,3,4,8,13.0,35.0,70.0,700.0,Aotizhongxin
2013,3,4,9,15.0,32.0,36.0,500.0,Aotizhongxin
2013,3,4,10,16.0,24.0,36.0,600.0,Aotizhongxin
2013,3,4,11,18.0,33.0,27.0,400.0,Aotizhongxin
2013,3,4,12,13.0,28.0,14.0,400.0,Aotizhongxin
2013,3,4,13,3.0,12.0,12.0,300.0,Aotizhongxin
2013,3,4,14,3.0,10.0,13.0,400.0,Aotizhongxin
2013,3,4,15,10.0,13.0,15.0,400.0,Aotizhongxin
2013,3,4,16,14.0,20.0,34.0,500.0,Aotizhongxin
2013,3,4,17,20.0,33.0,40.0,500.0,Aotizhongxin
2013,3,4,18,25.0,44.0,43.0,600.0,Aotizhongxin
2013,3,4,19,31.0,63.0,61.0,700.0,Aotizhongxin
2013,3,4,20,34.0,84.0,76.0,800.0,Aotizhongxin
2013,3,4,21,40.0,85.0,76.0,800.0,Aotizhongxin
2013,3,4,22,51.0,91.0,85.0,1000.0,Aotizhongxin
2013,3,4,23,58.0,94.0,86.0,1100.0,Aotizhongxin
2013,3,5,0,71.0,108.0,78.0,1100.0,Aotizhongxin
2013,3,5,1,91.0,127.0,75.0,1200.0,Aotizhongxin
2013,3,5,2,100.0,129.0,79.0,1200.0,Aotizhongxin
2013,3,5,3,103.0,130.0,83.0,1399.0,Aotizhongxin
2013,3,5,4,115.0,151.0,92.0,2299.0,Aotizhongxin
2013,3,5,5,117.0,153.0,91.0,2399.0,Aotizhongxin
2013,3,5,6,104.0,145.0,89.0,2200.0,Aotizhongxin
2013,3,5,7,106.0,146.0,87.0,2299.0,Aotizhongxin
2013,3,5,8,111.0,147.0,87.0,2399.0,Aotizhongxin
2013,3,5,9,114.0,159.0,92.0,2899.0,Aotizhongxin
2013,3,5,10,131.0,177.0,104.0,2700.0,Aotizhongxin
2013,3,5,11,138.0,184.0,115.0,2299.0,Aotizhongxin
